name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
elijah higgins,TE,ARI,SF@ARI,4500,0.8,1.976,3.6,8.89,1.85,1.2809338454620645,0.5185946316489974,0.7054458605517643,0.5056766934100616,1.0185391151935956,FALLBACK,3.6,,,,,,22.50,26.00,+2000,4.76,4426844,: 
dalton schultz,TE,HOU,HOU@TEN,5300,1.47,1.958,8.08,10.38,3.43,2.089391872533004,0.6695986369499988,0.1952253637202974,0.5767326732673267,0.3,ESPN,7.8,8.15,3.42,10.27,8.77,7.21,21.50,16.00,+1200,7.69,3117256,: 
gunnar helm,TE,TEN,HOU@TEN,4700,0.66,1.943,3.47,9.13,1.93,1.244154593958768,0.4573958684664167,0.7549337933291285,0.46685878962536026,1.62536023054755,ESPN,3.1,3.7,1.85,9.11,3.47,3.99,16.00,21.50,+2500,3.85,4686728,: 
tj hockenson,TE,MIN,CHI@MIN,5200,1.08,1.931,6.33,10.04,2.53,1.8453002361560848,0.7149854570890979,0.3600881586830154,0.646129541864139,0.5292259083728278,ESPN,5.6,5.74,2.24,9.68,7.38,6.27,25.25,22.25,+1500,6.25,4036133,: 
luke schoonmaker,TE,DAL,DAL@LV,4200,0.6,1.931,2.65,8.11,1.72,0.9745596399981309,0.3367257176462973,0.8729044880866711,0.35094339622641507,2,ESPN,2.5,2.43,1.72,7.97,2.46,3.56,26.50,23.00,+4500,2.17,4372096,: 
elijah arroyo,TE,SEA,SEA@LAR,4500,0.98,1.876,3.64,8.44,1.74,1.2919836816486494,0.5751305140954056,0.656186883600344,0.521978021978022,1.2445054945054943,ESPN,4.4,2.68,1.74,8.17,3.36,3.64,22.75,25.75,+2200,4.35,4678006,: 
theo johnson,TE,NYG,GB@NYG,5900,1.42,1.871,8.2,11.04,3.43,2.1041341542702074,0.6796669066673537,0.2323776020756466,0.5951219512195122,0.3,ESPN,8.4,6.92,3.32,10.63,9.07,7.35,17.25,24.25,+1500,6.25,4429148,: 
aj barner,TE,SEA,SEA@LAR,5400,1.02,1.863,6.01,10.06,2.4,1.7934247485471162,0.7149854570890979,0.40194121760014895,0.6688851913477537,0.6139767054908485,ESPN,5.5,5.59,1.99,9.7,6.67,6.14,22.75,25.75,+1600,5.88,4576297,: 
luke musgrave,TE,GB,GB@NYG,5200,1.15,1.848,5.56,9.61,2.22,1.715598108262491,0.7149854570890979,0.42711947552247276,0.6348920863309353,0.9370503597122303,ESPN,6,5.07,2.03,10.77,5.84,4.61,24.25,17.25,+1400,6.67,4428085,: 
terrance ferguson,TE,LAR,SEA@LAR,4600,0.85,1.843,3.3,8.48,1.75,1.1939224684724346,0.4940526414497172,0.7361897787950443,0.46969696969696967,1.4818181818181817,ESPN,3.9,2.7,1.75,8.19,2.83,3.64,25.75,22.75,+2200,4.35,4570037,: 
isaiah likely,TE,BAL,BAL@CLE,4800,1.17,1.823,6.3,8.75,2.52,1.840549633397487,0.7149854570890978,0.2567355984844602,0.6412698412698413,0.5412698412698415,ESPN,5.6,5.81,2.26,9.71,7.25,6.29,23.00,15.50,+1200,7.69,4361050,: 
noah gray,TE,KC,KC@DEN,4600,0.61,1.796,2.72,8.26,1.73,1.000631880307906,0.3522401553160259,0.8668757099072925,0.36397058823529416,1.9522058823529405,ESPN,2.8,2.51,1.73,8.03,2.31,3.59,25.00,20.50,+2800,3.45,4240472,: 
brock wright,TE,DET,DET@PHI,4300,0.86,1.793,3.7,7.71,1.83,1.308332819650179,0.548857907903042,0.5728256432301315,0.5056766934100616,1.0185391151935956,FALLBACK,3.7,,,,,,22.00,24.50,+2000,4.76,4242392,Q: Ankle
oronde gadsden,TE,LAC,LAC@JAC,6500,1.48,1.745,8.7,11.34,3.48,2.163323025660538,0.7149854570890978,0.2066438387230724,0.6137931034482759,0.3,ESPN,9.6,7.82,3.36,10.07,9.05,7.07,23.25,20.25,+900,10.00,4595342,: 
cole kmet,TE,CHI,CHI@MIN,4700,0.64,1.717,3.1,8.07,1.7,1.1314021114911006,0.4680955673952825,0.7468240980045526,0.4516129032258065,1.5387096774193547,ESPN,3,2.31,1.7,7.87,3.38,3.52,22.25,25.25,+3000,3.23,4258595,: 
jake ferguson,TE,DAL,DAL@LV,6900,1.3,1.704,8.59,11.76,3.44,2.150598735996164,0.7149854570890979,0.2448826933370325,0.6251455180442375,0.3,ESPN,9,7.98,3.22,10.15,9.25,7.04,26.50,23.00,+1000,9.09,4242355,: 
mark andrews,TE,BAL,BAL@CLE,5800,1.31,1.688,7.41,9.79,2.96,2.0028304393079956,0.7149854570890979,0.2169737039962659,0.650472334682861,0.39271255060728744,ESPN,7.6,6.55,2.59,10.32,7.96,6.8,23.00,15.50,+850,10.53,3116365,: 
tommy tremble,TE,CAR,CAR@ATL,4400,0.61,1.523,2.39,6.7,1.63,0.8712933659434193,0.2979367651567105,0.8042823214919275,0.35146443514644354,1.8744769874476988,ESPN,2.7,1.61,1.55,6.87,2.1,3.11,19.00,22.50,+5000,1.96,4372780,: 
jackson hawes,TE,BUF,TB@BUF,4500,0.73,1.518,3.3,6.83,1.63,1.1939224684724346,0.5490332251100143,0.5681524103264057,0.5056766934100616,1.0185391151935956,FALLBACK,3.3,,,,,,26.25,20.25,+2500,3.85,4573699,: 
tanner hudson,TE,CIN,CIN@PIT,4200,0.62,1.507,2.6,6.33,1.34,0.9555114450274365,0.5189761414663487,0.6947254475972038,0.5056766934100616,1.0185391151935956,FALLBACK,2.6,,,,,,21.50,27.00,+3500,2.78,3050481,: 
adam trautman,TE,DEN,KC@DEN,4200,0.57,1.386,2.4,5.82,1.23,0.8754687373538999,0.5190416720225127,0.6918813410382153,0.5056766934100616,1.0185391151935956,FALLBACK,2.4,,,,,,20.50,25.00,+4000,2.44,3911853,: 
johnny mundt,TE,JAC,LAC@JAC,4400,0.64,1.314,2.8,5.78,1.39,1.0296194171811581,0.5491526945631267,0.5656029374329221,0.5056766934100616,1.0185391151935956,FALLBACK,2.8,,,,,,,,+3000,3.23,3052096,: 
davis allen,TE,LAR,SEA@LAR,4400,0.64,1.314,2.8,5.78,1.39,1.0296194171811581,0.5491526945631267,0.5658196816984882,0.5056766934100616,1.0185391151935956,FALLBACK,2.8,,,,,,25.75,22.75,+3000,3.23,4426553,: 
daniel bellinger,TE,NYG,GB@NYG,4600,0.63,1.304,2.9,6,1.49,1.0647107369924282,0.5187699488559697,0.5675566955477763,0.5056766934100616,1.0185391151935956,FALLBACK,2.9,,,,,,17.25,24.25,+2500,3.85,4361516,: 
jatavion sanders,TE,CAR,CAR@ATL,4800,0.83,1.262,4.55,6.06,3.94,1.515127232962859,0.11320617219084195,0.22379762263713637,0.18901098901098898,0.3,ESPN,4,4.53,3.69,5.44,4.98,4.79,19.00,22.50,+2500,3.85,4431588,: 
colby parkinson,TE,LAR,SEA@LAR,4800,0.6,1.244,2.9,5.97,1.43,1.0647107369924282,0.5492394177203933,0.5633702588123232,0.5056766934100616,1.0185391151935956,FALLBACK,2.9,,,,,,25.75,22.75,+3500,2.78,4242557,: 
drew sample,TE,CIN,CIN@PIT,4200,0.43,1.033,1.8,4.34,0.93,0.5877866649021191,0.5192575763153127,0.6867250712750325,0.5056766934100616,1.0185391151935956,FALLBACK,1.8,,,,,,21.50,27.00,+7500,1.32,3127310,: 
luke farrell,TE,SF,SF@ARI,4300,0.47,0.949,2,4.08,0.99,0.6931471805599453,0.5494822938497225,0.556470685155581,0.5056766934100616,1.0185391151935956,FALLBACK,2,,,,,,26.00,22.50,+6500,1.52,4040612,: 
charlie kolar,TE,BAL,BAL@CLE,4200,0.6,0.926,2.5,3.89,1.16,0.9162907318741551,0.5981522614684934,0.34551749292206657,0.5056766934100616,1.0185391151935956,FALLBACK,2.5,,,,,,23.00,15.50,+4000,2.44,4241263,: 
mitchell evans,TE,CAR,CAR@ATL,4100,0.44,0.895,1.8,3.67,0.93,0.5877866649021191,0.5192402246556861,0.5565067981272304,0.5056766934100616,1.0185391151935956,FALLBACK,1.8,,,,,,19.00,22.50,+7000,1.41,4683243,: 
grant calcaterra,TE,PHI,DET@PHI,4400,0.43,0.882,1.9,3.88,0.94,0.6418538861723947,0.5494302426004384,0.5574688976735976,0.5056766934100616,1.0185391151935956,FALLBACK,1.9,,,,,,24.50,22.00,+5500,1.79,4241374,: 
quintin morris,TE,JAC,LAC@JAC,4000,0.42,0.865,1.7,3.46,0.84,0.5306282510621704,0.5495208525693572,0.555280118997571,0.5056766934100616,1.0185391151935956,FALLBACK,1.7,,,,,,,,+7500,1.32,4244049,: 
ross dwelley,TE,DET,DET@PHI,4000,0.38,0.77,1.5,3.08,0.74,0.4054651081081644,0.5493049482765575,0.5608557309287998,0.5056766934100616,1.0185391151935956,FALLBACK,1.5,,,,,,22.00,24.50,+4000,2.44,3120303,: 
jake tonges,TE,SF,SF@ARI,4200,0.33,0.686,1.4,2.88,0.69,0.33647223662121284,0.5493049482765574,0.5615144709590029,0.5056766934100616,1.0185391151935956,FALLBACK,1.4,,,,,,26.00,22.50,+4000,2.44,4259147,: 
tyler conklin,TE,LAC,LAC@JAC,4500,0.38,0.656,1.7,2.95,0.84,0.5306282510621704,0.5493049482765575,0.43049534767187314,0.5056766934100616,1.0185391151935956,FALLBACK,1.7,,,,,,23.25,20.25,+4000,2.44,3915486,: 
josh oliver,TE,MIN,CHI@MIN,4200,0.31,0.636,1.3,2.67,0.64,0.26236426446749106,0.5493049482765575,0.561185170458208,0.5056766934100616,1.0185391151935956,FALLBACK,1.3,,,,,,25.25,22.25,+4000,2.44,3921690,: 
connor heyward,TE,PIT,CIN@PIT,4200,0.29,0.583,1.2,2.45,0.59,0.1823215567939546,0.5494591595324902,0.5571304221133542,0.5056766934100616,1.0185391151935956,FALLBACK,1.2,,,,,,27.00,21.50,+6000,1.64,4241961,: 
cade stover,TE,HOU,HOU@TEN,4200,0.33,0.579,1.4,2.43,0.69,0.33647223662121284,0.5493049482765574,0.4293397477182414,0.5056766934100616,1.0185391151935956,FALLBACK,1.4,,,,,,21.50,16.00,+4000,2.44,4426496,Q: Foot
payne durham,TE,TB,TB@BUF,4200,0.24,0.576,1,2.42,0.51,0,0.5191958832784458,0.6880404175255572,0.5056766934100616,1.0185391151935956,FALLBACK,1,,,,,,20.25,26.25,+6000,1.64,4372505,: 
kylen granson,TE,PHI,DET@PHI,4000,0.28,0.56,1.1,2.24,0.54,0.09531017980432493,0.5495382046148419,0.5545391759146212,0.5056766934100616,1.0185391151935956,FALLBACK,1.1,,,,,,24.50,22.00,+8000,1.23,4039160,: 
ian thomas,TE,LV,DAL@LV,4000,0.23,0.542,0.9,2.17,0.46,-0.10536051565782628,0.5192999931077392,0.6856622074971513,0.5056766934100616,1.0185391151935956,FALLBACK,0.9,,,,,,23.00,26.50,+9000,1.10,4045305,: 
charlie woerner,TE,ATL,CAR@ATL,4200,0.31,0.536,1.3,2.25,0.64,0.26236426446749106,0.5494302426004384,0.4268828155947421,0.5056766934100616,1.0185391151935956,FALLBACK,1.3,,,,,,22.50,19.00,+5500,1.79,4035020,: 
tucker fisk,TE,LAC,LAC@JAC,4300,0.3,0.521,1.3,2.24,0.64,0.26236426446749106,0.5494822938497224,0.42606664894029683,0.5056766934100616,1.0185391151935956,FALLBACK,1.3,,,,,,23.25,20.25,+6500,1.52,4242558,: 
brevyn spannford,TE,DAL,DAL@LV,4100,0.24,0.498,1,2.04,0.49,0,0.5495035009097305,0.556057047037426,0.5056766934100616,1.0185391151935956,FALLBACK,1,,,,,,26.50,23.00,+7000,1.41,4360967,: 
john fitzpatrick,TE,GB,GB@NYG,4900,0.29,0.496,1.4,2.43,0.69,0.33647223662121284,0.5493049482765574,0.42983521441497247,0.5056766934100616,1.0185391151935956,FALLBACK,1.4,,,,,,24.25,17.25,+4000,2.44,4379401,: 
josh whyle,TE,GB,GB@NYG,4000,0.25,0.432,1,1.73,0.49,0,0.5494822938497225,0.42565314311356384,0.5056766934100616,1.0185391151935956,FALLBACK,1,,,,,,24.25,17.25,+6500,1.52,4360086,: 
nick kallerup,TE,SEA,SEA@LAR,4200,0.19,0.388,0.8,1.63,0.4,-0.2231435513142097,0.5495382046148419,0.5548740141905352,0.5056766934100616,1.0185391151935956,FALLBACK,0.8,,,,,,22.75,25.75,+8000,1.23,4569547,: 
josiah deguara,TE,ARI,SF@ARI,4000,0.15,0.362,0.6,1.45,0.31,-0.5108256237659907,0.5192749283607974,0.686229202975416,0.5056766934100616,1.0185391151935956,FALLBACK,0.6,,,,,,22.50,26.00,+8000,1.23,3914151,: 
blake whiteheart,TE,CLE,BAL@CLE,4000,0.17,0.355,0.7,1.42,0.36,-0.35667494393873245,0.5193751921796699,0.5531620406833179,0.5056766934100616,1.0185391151935956,FALLBACK,0.7,,,,,,15.50,23.00,+14000,0.71,4362018,: 
durham smythe,TE,CHI,CHI@MIN,4000,0.15,0.305,0.6,1.22,0.3,-0.5108256237659907,0.5495844786226834,0.5534151925772098,0.5056766934100616,1.0185391151935956,FALLBACK,0.6,,,,,,22.25,25.25,+10000,0.99,3052897,: 
david martinrobinson,TE,TEN,HOU@TEN,4000,0.15,0.305,0.6,1.22,0.31,-0.5108256237659907,0.5192749283607974,0.555433917602371,0.5056766934100616,1.0185391151935956,FALLBACK,0.6,,,,,,16.00,21.50,+8000,1.23,4360978,: 
keleki latu,TE,BUF,TB@BUF,4000,0.13,0.255,0.5,1.02,0.25,-0.6931471805599453,0.5495844786226836,0.5532802057128591,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,26.25,20.25,+10000,0.99,,: 
robbie ouzts,TE,SEA,SEA@LAR,4000,0.13,0.255,0.5,1.02,0.25,-0.6931471805599453,0.5496153294858515,0.5526663345763303,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,22.75,25.75,+12000,0.83,4691688,: 
chris manhertz,TE,NYG,GB@NYG,4000,0.13,0.255,0.5,1.02,0.26,-0.6931471805599453,0.5192999931077391,0.5550916479708358,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,17.25,24.25,+9000,1.10,2531358,: 
thomas fidone,TE,NYG,GB@NYG,4000,0.13,0.255,0.5,1.02,0.26,-0.6931471805599453,0.5192749283607972,0.5556854105334519,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,17.25,24.25,+8000,1.23,4590292,: 
robert tonyan,TE,KC,KC@DEN,4100,0.12,0.246,0.5,1.01,0.25,-0.6931471805599453,0.5496153294858515,0.5523264515545204,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,25.00,20.50,+12000,0.83,2975674,: 
teagan quitoriano,TE,ATL,CAR@ATL,4000,0.13,0.215,0.5,0.86,0.25,-0.6931471805599453,0.5495844786226836,0.4232336915709401,0.5056766934100616,1.0185391151935956,FALLBACK,0.5,,,,,,22.50,19.00,+10000,0.99,4374045,: 
zach horton,TE,DET,DET@PHI,4000,0.1,0.203,0.4,0.81,0.2,-0.916290731874155,0.549775387917023,0.5480653750921926,0.5056766934100616,1.0185391151935956,FALLBACK,0.4,,,,,,22.00,24.50,0,0,,: 
luke lachey,TE,HOU,HOU@TEN,4000,0.1,0.17,0.4,0.68,0.2,-0.916290731874155,0.549775387917023,0.418694145770353,0.5056766934100616,1.0185391151935956,FALLBACK,0.4,,,,,,21.50,16.00,0,0,4432338,: 
marcedes lewis,TE,DEN,KC@DEN,4000,0.05,0.12,0.2,0.48,0.1,-1.6094379124341003,0.5192999931077392,0.6850627728167311,0.5056766934100616,1.0185391151935956,FALLBACK,0.2,,,,,,20.50,25.00,+9000,1.10,9614,: 
