QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,10,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,127.57569031171914,124.03765717689194,95.21624566623512,164.1835013529929,28.03393324321199,0.1262053777517603,164.1835013529929,118.44000000000001,118.44000000000001,9,0,0,-9.13569031171913,-5.5976571768919285,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,35,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12539",2,0.45,119.3,59900,126.5937900379764,122.52899049526462,93.4675927014332,164.1292450203592,28.94565450747099,0.1404286623286623,164.1292450203592,113.16,113.16,9,0,0,-13.433790037976408,-9.368990495264626,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,child_100245,"123617-90573,123617-167620,123617-151903,123617-138820,123617-55050,123617-110484,123617-86080,123617-102965,123617-12539",2,0.36,119.39999999999998,59800,126.35811486135898,122.90947744658736,93.7720122242955,163.63907060768858,28.419949944080575,0.121345654075999,163.63907060768858,120.04,120.04,9,0,0,-6.318114861358978,-2.8694774465873536,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,23,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-103619,123617-86080,123617-12548",2,0.3299999999999999,119.5,60000,125.89975390257372,121.86529418036508,94.24950690677488,163.05656740740974,27.855372643977915,0.144835963021333,163.05656740740974,117.44000000000001,117.44000000000001,9,0,0,-8.45975390257371,-4.425294180365071,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Los Angeles Chargers,65,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-151903,123617-40845,123617-12548",2,0.75,119.09999999999998,59900,126.01198834243009,122.2744382747848,94.98453901152732,162.92999177279142,27.42795355630467,0.1362679158681227,162.92999177279142,100.34,100.34,9,0,0,-25.671988342430083,-21.934438274784796,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,9,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",1,0.0,119.89999999999998,60000,125.92003301074328,121.96517311447585,93.09376430282768,162.74048016155982,28.05587432953503,0.1409637015697655,162.74048016155982,112.17999999999999,112.17999999999999,9,0,0,-13.74003301074329,-9.785173114475853,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Adonai Mitchell,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,51,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-151789,123617-86080,123617-12548",2,0.6100000000000001,119.09999999999998,60000,125.26428542208926,120.98220245953648,93.29831910686362,162.72489779443393,28.201950980031743,0.1518364089627948,162.72489779443393,129.48000000000002,129.48000000000002,9,0,0,4.215714577910759,8.497797540463537,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Arizona Cardinals,26,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12546",2,0.36,119.39999999999998,59900,125.73178919862212,122.20042141063954,94.1422680967666,162.6485479214113,27.998094385400453,0.1261288621779921,162.6485479214113,108.64,108.64,9,0,0,-17.091789198622124,-13.560421410639535,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,29,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12539",2,0.39,119.4,59900,125.6166112311325,121.81438127739244,93.82333967444367,162.51583831650794,27.744113662297483,0.1370463659434558,162.51583831650794,128.88,128.88,9,0,0,3.2633887688675003,7.065618722607553,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,child_168862,"123617-90573,123617-103539,123617-151903,123617-138820,123617-55050,123617-110484,123617-86080,123617-151966,123617-12539",2,0.75,119.09999999999998,59500,125.03358769465426,121.2368146966692,93.37033942434762,162.27350338198534,27.77295131987766,0.1367075812093341,162.27350338198534,109.26,109.26,9,0,0,-15.773587694654253,-11.976814696669194,True,False,False
