QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,120.59999999999998,60000,125.71157336252202,122.34839206264856,93.0635251807057,162.99211959537064,28.42460816472222,0.1183193548485741,162.99211959537064,112.08,112.08,9,0,0,-13.631573362522019,-10.268392062648559,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,61,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",2,0.71,119.1,60000,125.60363141470658,121.52344465184004,93.39031907397684,162.7962415534869,28.42918150776618,0.1435210775150855,162.7962415534869,118.58000000000001,118.58000000000001,9,0,0,-7.023631414706571,-2.943444651840025,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,60,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",2,0.7,119.09999999999998,59900,125.86822401771468,121.79576531215908,93.4893435937865,162.72755873618797,28.366508992376755,0.1435657347419808,162.72755873618797,123.47999999999999,123.47999999999999,9,0,0,-2.388224017714691,1.6842346878409131,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Seattle Seahawks,89,"123617-138820,123617-55050,123617-102965,123617-103539,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",2,0.99,118.89999999999998,60000,125.71605304687402,121.66685156878565,93.4617478841856,162.65963022550227,28.48392542509087,0.14215742450026,162.65963022550227,130.64,130.64,9,0,0,4.923946953125963,8.97314843121434,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,mutated_685713,"123617-86080,123617-12534,123617-138820,123617-55050,123617-110484,123617-152316,123617-90573,123617-103539,123617-151903",2,0.97,118.89999999999998,59600,124.95230492605488,121.67340470576067,92.85729948608676,162.53369119186425,28.07429958398444,0.1167936607104066,162.53369119186425,108.17999999999999,108.17999999999999,9,0,0,-16.772304926054886,-13.493404705760682,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,1,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",1,0.0,120.5,60000,125.59651956064177,121.88700278043342,93.65794075866802,162.48241776726908,27.77728564933294,0.1335449700535234,162.48241776726908,109.32,109.32,9,0,0,-16.276519560641773,-12.567002780433427,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,6,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,119.89999999999998,59900,125.01318889473076,121.21150155734212,92.48660501802424,162.42994534639607,27.836355938216965,0.1365727376753805,162.42994534639607,105.77999999999999,105.77999999999999,9,0,0,-19.233188894730773,-15.43150155734213,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,4,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",1,0.0,120.1,60000,126.49251781428224,123.30619978119778,94.5711492052267,162.4246477173809,27.61087776567648,0.1154008235495295,162.4246477173809,123.84000000000002,123.84000000000002,9,0,0,-2.65251781428222,0.5338002188022415,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,2,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,120.39999999999998,60000,125.70434574289968,121.68900673348458,93.88411887083238,162.32284256041655,27.684858086208905,0.1450373701361084,162.32284256041655,102.82,102.82,9,0,0,-22.884345742899683,-18.869006733484582,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,11,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,126.81527699667424,123.1978295124926,95.10549872915104,162.28252139569767,27.55016092405753,0.1313040418948257,162.28252139569767,106.64,106.64,9,0,0,-20.175276996674242,-16.557829512492603,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,39,"123617-138820,123617-55050,123617-152316,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12539",2,0.49,119.29999999999998,60000,125.0993372799321,121.27413267920048,92.55273187432024,162.09672077503714,28.158149905133445,0.135847156635609,162.09672077503714,115.58,115.58,9,0,0,-9.519337279932103,-5.694132679200479,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,10,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,126.57503178040017,123.42884572278872,94.55595110873809,162.09364941138188,27.564158432076443,0.1141404721411782,162.09364941138188,118.44000000000001,118.44000000000001,9,0,0,-8.135031780400155,-4.98884572278871,True,False,False
